,E,T,N
44.08,0.8333333333328855,-1.600042485722638e-12,1.500000000051167
44.09,0.8333333333328855,-1.605806300048628e-12,1.5000000000505627
44.1,0.8333333333328855,-1.6114496750140019e-12,1.5000000000499607
44.11,0.8333333333328855,-1.616972239268214e-12,1.500000000049361
44.12,0.8333333333328855,-1.6223736214607138e-12,1.5000000000487637
44.13,0.8333333333328855,-1.6276534502409555e-12,1.5000000000481686
44.14,0.8333333333328855,-1.6328113542583813e-12,1.500000000047576
44.15,0.8333333333328856,-1.6378469621624453e-12,1.5000000000469857
44.160000000000004,0.8333333333328856,-1.6427599026026007e-12,1.5000000000463978
44.17,0.8333333333328857,-1.64754980422829e-12,1.5000000000458125
44.18,0.8333333333328857,-1.6522162956889678e-12,1.5000000000452294
44.19,0.8333333333328858,-1.656759005634083e-12,1.5000000000446487
44.2,0.8333333333328858,-1.6611775627130897e-12,1.5000000000440705
44.21,0.833333333332886,-1.6654715955754308e-12,1.500000000043495
44.22,0.8333333333328861,-1.6696407328705597e-12,1.5000000000429217
44.230000000000004,0.8333333333328862,-1.6736846032479291e-12,1.500000000042351
44.24,0.8333333333328863,-1.6776028353569835e-12,1.5000000000417828
44.25,0.8333333333328864,-1.6813950578471758e-12,1.500000000041217
44.26,0.8333333333328865,-1.6850608993679555e-12,1.500000000040654
44.27,0.8333333333328866,-1.6885999885687756e-12,1.5000000000400933
44.28,0.8333333333328867,-1.6920119540990813e-12,1.500000000039535
44.29,0.8333333333328868,-1.6952964246083241e-12,1.5000000000389795
44.300000000000004,0.8333333333328871,-1.6984530287459571e-12,1.5000000000384264
44.31,0.8333333333328872,-1.7014813951614251e-12,1.500000000037876
44.32,0.8333333333328874,-1.7043811525041814e-12,1.5000000000373281
44.33,0.8333333333328875,-1.7071519294236748e-12,1.5000000000367828
44.34,0.8333333333328877,-1.709793354569358e-12,1.5000000000362401
44.35,0.8333333333328878,-1.7123050565906766e-12,1.5000000000357
44.36,0.8333333333328881,-1.714686664137083e-12,1.5000000000351628
44.37,0.8333333333328883,-1.7169378058580266e-12,1.5000000000346279
44.38,0.8333333333328885,-1.7190581104029597e-12,1.5000000000340958
44.39,0.8333333333328887,-1.7210472064213284e-12,1.5000000000335663
44.4,0.833333333332889,-1.7229047225625847e-12,1.5000000000330396
44.410000000000004,0.8333333333328892,-1.7246302874761796e-12,1.5000000000325155
44.42,0.8333333333328894,-1.7262235298115609e-12,1.5000000000319942
44.43,0.8333333333328897,-1.7276840782181794e-12,1.5000000000314755
44.44,0.83333333333289,-1.7290115613454855e-12,1.5000000000309597
44.45,0.8333333333328902,-1.7302056078429298e-12,1.5000000000304463
44.46,0.8333333333328905,-1.7312658463599604e-12,1.500000000029936
44.47,0.8333333333328907,-1.732191905546029e-12,1.5000000000294282
44.480000000000004,0.8333333333328911,-1.7329834140505845e-12,1.5000000000289233
44.49,0.8333333333328914,-1.7336400005230775e-12,1.5000000000284213
44.5,0.8333333333328916,-1.7341612936129573e-12,1.5000000000279219
44.51,0.833333333332892,-1.7345469219696749e-12,1.5000000000274254
44.52,0.8333333333328923,-1.7347965142426798e-12,1.5000000000269318
44.53,0.8333333333328926,-1.7349096990814215e-12,1.5000000000264408
44.54,0.833333333332893,-1.7348861051353506e-12,1.5000000000259528
44.550000000000004,0.8333333333328933,-1.734725361053917e-12,1.5000000000254676
44.56,0.8333333333328936,-1.73442709548657e-12,1.5000000000249853
44.57,0.833333333332894,-1.7339909370827608e-12,1.500000000024506
44.58,0.8333333333328944,-1.7334165144919387e-12,1.5000000000240294
44.59,0.8333333333328947,-1.7327034563635532e-12,1.5000000000235558
44.6,0.8333333333328952,-1.7318513913470552e-12,1.500000000023085
44.61,0.8333333333328955,-1.7308599480918942e-12,1.5000000000226172
44.62,0.8333333333328959,-1.7297287552475205e-12,1.5000000000221523
44.63,0.8333333333328964,-1.7284574414633828e-12,1.5000000000216904
44.64,0.8333333333328967,-1.7270456353889332e-12,1.5000000000212315
44.65,0.8333333333328972,-1.7254929656736206e-12,1.5000000000207756
44.660000000000004,0.8333333333328976,-1.7237990609668937e-12,1.5000000000203224
44.67,0.833333333332898,-1.721963549918205e-12,1.5000000000198725
44.68,0.8333333333328985,-1.7199860611770031e-12,1.5000000000194256
44.69,0.8333333333328989,-1.7178662233927385e-12,1.5000000000189815
44.7,0.8333333333328995,-1.7156036652148588e-12,1.5000000000185405
44.71,0.8333333333328999,-1.7131980152928179e-12,1.5000000000181026
44.72,0.8333333333329004,-1.7106489022760642e-12,1.5000000000176679
44.730000000000004,0.8333333333329009,-1.7079559548140448e-12,1.500000000017236
44.74,0.8333333333329014,-1.7051188015562145e-12,1.5000000000168072
44.75,0.8333333333329019,-1.7021370711520212e-12,1.5000000000163816
